date,old_sql_swe_mm,old_zonal_area_m2,old_zonal_mean_swe_mm,new_area_m2,new_mean_swe_mm,new_zonal_weighted_mean_swe_mm
2024-04-19,105.65871275635239,19094472001.5,107.09601123663171,19111977644.75,106.8732966355658,107.25027029993429
2024-04-20,102.82384238359325,19094472001.5,104.51747204708138,19111977644.75,104.29749735964555,104.67081199671424
2024-04-21,99.33022700889983,19094472001.5,101.4874406398589,19111977644.75,101.27049367649765,101.63811948597736
2024-04-22,96.78505094801997,19094472001.5,99.51045785476374,19111977644.75,99.29583215229813,99.65867599800235
2024-04-23,94.18334838127176,19094472001.5,97.40320393394255,19111977644.75,97.19052438775796,97.54885139572201
2024-04-24,90.24480846124074,19094472001.5,94.36064560776302,19111977644.75,94.14793355776585,94.49350999382631
2024-04-25,87.35976396233713,19094472001.5,91.88573078407558,19111977644.75,91.6764940671959,92.01546483000428
2024-04-26,86.91932155294734,19094472001.5,91.8292121203785,19111977644.75,91.61612192665979,91.95303547479995
2024-04-27,89.55207661550375,19094472001.5,91.51554259357468,19111977644.75,91.3080757214072,91.64933635613629
2024-04-28,88.56707081129879,19094472001.5,90.52017356873398,19111977644.75,90.31449986083136,90.65495207899791
2024-04-29,87.04172578356771,19094472001.5,89.31706544373257,19111977644.75,89.11270506165584,89.4511720937585
2024-04-30,86.86092480330173,19094472001.5,93.0479456339137,19111977644.75,92.82573707295973,93.16574109741842
2024-05-01,86.10547529988379,19094472001.5,93.78368308197068,19111977644.75,93.55378006730619,93.89441403285511
2024-05-02,86.65042564168698,19094472001.5,95.46902370915802,19111977644.75,95.24437056397404,95.58641303328177
2024-05-03,85.75435315361787,19094472001.5,96.25621837594326,19111977644.75,96.02144579438527,96.36813646666246
2024-05-04,83.88298078163284,19094472001.5,94.18517225559752,19111977644.75,93.95238107530712,94.29727877783375
2024-05-05,92.01080227009146,19094472001.5,97.14988285110098,19111977644.75,96.92195821479179,97.27542650142973
2024-05-06,92.00935121888399,19094472001.5,99.90873470172451,19111977644.75,99.67556786549541,100.03360811606049
2024-05-07,92.02679607893882,19094472001.5,104.69238431412016,19111977644.75,104.46321251907584,104.83720936636738
2024-05-08,90.71078937185584,19094472001.5,104.79751836992129,19111977644.75,104.56534111169472,104.9405391738421
2024-05-09,87.85328260028392,19094472001.5,104.34019602685973,19111977644.75,104.11008990563606,104.48592036304628
2024-05-10,83.06233071069286,19094472001.5,99.3214545113338,19111977644.75,99.09236521027745,99.46317988204375
2024-05-11,78.41674190635905,19094472001.5,93.56771420738369,19111977644.75,93.34220639406715,93.69962510209557
2024-05-12,74.69666580678435,19094472001.5,88.50821085991434,19111977644.75,88.28993948434191,88.63311232970088
2024-05-13,70.36405262479038,19094472001.5,83.14583915875198,19111977644.75,82.93764257855372,83.26283470934695
2024-05-14,65.754998065265,19094472001.5,80.8946731646117,19111977644.75,80.68491643239719,80.99904981741724
2024-05-15,62.33461240810011,19094472001.5,77.45059065521838,19111977644.75,77.24672933534765,77.54925109366181
2024-05-16,58.534567264284675,19094472001.5,73.64816741121689,19111977644.75,73.45090049489457,73.74080518059672
2024-05-17,54.48942344898749,19094472001.5,68.99808221339246,19111977644.75,68.81154207340225,69.08393234508007
2024-05-18,51.216464594350626,19094472001.5,65.79195254211284,19111977644.75,65.61250233981453,65.8720343347495
2024-05-19,48.91716109892948,19094472001.5,63.96136229844536,19111977644.75,63.785113996935074,64.03747967758737
2024-05-20,47.487262994969605,19094472001.5,62.81305155792938,19111977644.75,62.63899933240151,62.88728178365403
2024-05-21,45.18328389010707,19094472001.5,59.076161852260135,19111977644.75,58.90752328608763,59.139042804869305
2024-05-22,43.56887656391066,19094472001.5,58.04127391694863,19111977644.75,57.87293361833653,58.10002831434622
2024-05-23,41.88281955372103,19094472001.5,56.898376290219204,19111977644.75,56.73226303996853,56.95531002127702
2024-05-24,40.82155294724618,19094472001.5,55.82215177154884,19111977644.75,55.65781931632736,55.876894096864476
2024-05-25,39.25915774538889,19094472001.5,54.25146928881523,19111977644.75,54.090023867439065,54.302939433825124
2024-05-26,37.80146394943891,19094472001.5,53.00611378098356,19111977644.75,52.847568499406435,53.055544919325285
2024-05-27,36.319102282987245,19094472001.5,51.443795742166586,19111977644.75,51.28855482131578,51.49027735197858
2024-05-28,34.22159164194514,19094472001.5,49.12597451419653,19111977644.75,48.975836207188614,49.16781958942736
2024-05-29,29.52553850122532,19094472001.5,46.02813362443805,19111977644.75,45.88738279315607,46.06585413373045
2024-05-30,28.256868309041728,19094472001.5,44.78257194491109,19111977644.75,44.645254247488296,44.81870568143121
2024-05-31,26.813201341416164,19094472001.5,43.39223922432181,19111977644.75,43.25807672573287,43.42531984849236
2024-06-01,23.381013801109233,19094472001.5,40.977171070118025,19111977644.75,40.84986765841688,41.007615865159806
2024-06-02,21.336256932800246,19094472001.5,38.73743634559255,19111977644.75,38.616799561261814,38.76424463061381
2024-06-03,19.496130530117394,19094472001.5,36.71795105661094,19111977644.75,36.604796562076025,36.74257218199571
2024-06-04,16.50319231265317,19094472001.5,33.44813645081368,19111977644.75,33.34506976484143,33.46760302029602
2024-06-05,14.062395201857354,19094472001.5,31.04171852395314,19111977644.75,30.947250024710062,31.05829613489507
2024-06-06,12.174448600541734,19094472001.5,28.487359056092004,19111977644.75,28.401559858173105,28.50073843185684
2024-06-07,10.496452985940891,19094472001.5,26.02051878718875,19111977644.75,25.94298228662361,26.03134040297164
2024-06-08,8.408938475428858,19094472001.5,23.902162721006576,19111977644.75,23.830668474428222,23.908697002665576
2024-06-09,6.958145234102931,19094472001.5,22.057870985446534,19111977644.75,21.99186434499049,22.06126020913842
